
1/10/2014,"Grand Villa of Delray West, Delray Beach, FL 33484",Worker drowned when the vehicle he was driving was carried away by floodwater.,Fatality
1/10/2014,"South Georgia Staffing Inc., Sparks, GA 31647",Worker struck and killed by vehicle.,Fatality
1/9/2014,"Greene's Energy Group LLC, Campo, CO 81029",Worker struck and killed by chocker while trying to free semi-truck from an excavator.,Fatality
1/9/2014,"United Signs & Signals Inc., Hernando, FL 34442",Three workers hospitalized after being struck and shocked by falling light pole. ,Catastrophe
1/8/2014,"Motion Envelopes, Dallas, TX 75212",Worker electrocuted while working on press machine.,Fatality
1/8/2014,"Pacific Architects and Engineers Inc., Eglin AFB, FL 32542",Worker died after being engulfed in fire suppressant foam that  filled hangar.,Fatality
1/8/2014,"R R Dawson Bridge Company LLC, Montgomery, AL 36101",Two workers killed in fall from aerial platform. ,Fatality
1/8/2014,"TOA (USA), LLC, Mooresville, IN 46158",Worker died from burns caused by a stationery welder.,Fatality
1/7/2014,"Bill Collins Ford, Inc. , Louisville, KY 40218",Worker pinned and crushed by car during oil change.,Fatality
1/7/2014,"Messer Construction Co. Inc., Amarillo, TX 79109",Worker struck and killed by vehicle that fell off fork lift. ,Fatality
1/7/2014,"Siletz Trucking, Inc. , Grand Ronde, OR 97347",Worker killed when log truck he was driving fell down a ravine.,Fatality
1/7/2014,"Tiger Sanitation Inc., San Antonia, TX 78263",Worker struck and killed by vehicle while exiting refuse collection truck. ,Fatality
1/6/2014,"Benton Packing, LLC, Clearfield, UT 84016",Worker struck and killed by a motor vehicle.,Fatality
1/6/2014,"North Coast Iron Corp, Seattle, WA 98109",Worker killed in fall from scaffold.,Fatality
1/4/2014,"H & L Landscaping Inc., Sanford, FL 32773",Worker electrocuted by overhead power lines while tree trimming.,Fatality
1/3/2014,"Lee County Electric Cooperative Inc., North Fort Myers, FL 33917",Worker killed in a motor vehicle collision. ,Fatality
1/3/2014,"Liquid Environmental Solutions, Arlington, TX 76012",Worker struck and killed when pressurized tank failed.,Fatality
1/2/2014,"H.E.R. Engineering Inc., Ruskin, FL 33572",Worker died after being engulfed by a collapsed trench. ,Fatality
1/2/2014,"Propper Bulk Handlers Corporation, Fairless Hills, PA 19030",Worker operating excavator died after being engulfed by collapsed salt pile.,Fatality
1/1/2014,"Wal-Mart Stores, Inc., Clinton, IA 52732",Worker killed in fall from ladder.  ,Fatality
12/31/2013,"Anchor Roofing, Palestine, TX 75801",Worker died after falling from roof. ,Fatality
12/31/2013,"Carlson Siding and Construction LLC, Normal, IL 61761",Worker performing siding activities killed in fall from roof.,Fatality
12/31/2013,"Lyon Shipyard, Norfolk, VA 23523",Worker struck and killed by falling dredge pipe. ,Fatality
12/31/2013,"Nabors Drilling USA LP, Gonzales, TX 78629",Worker died from burns after falling through broken access door into hot mud pit.,Fatality
12/31/2013,"Nabors Drilling USA, Williston, ND 58801",Worker struck and killed by falling section of drilling pipe.,Fatality
12/30/2013,"Bond Auto Parts,  Springfield, VT 05156",Worker killed in a motor vehicle collision.,Fatality
12/30/2013,"Five Star International LLC, Erie, PA 16509",Worker crushed and killed when vehicle fell onto him. ,Fatality
12/30/2013,"Jericho Services Inc., Dacoma, OK 73731",Worker killed when his vehicle was struck by a train.,Fatality
12/30/2013,"Lexanic Transport and Logistic Inc., Santa Fe Springs, CA 90670",Worker was crushed between a semi-trailer truck and a loading dock.,Fatality
12/30/2013,"Signature Flight Support Corporation, East Boston,  MA 02128",Worked struck by truck and crushed against jet fuel pump and tanks.          ,Fatality
12/30/2013,"Washington Metropolitan Area Transit Authority, Silver Spring, MD 20904",Worker crushed between bus and wall.,Fatality
12/30/2013,"Yates Farms, Inc., Slaughters, KY 42456",Worker struck and killed by tree while conducting cutting operations.,Fatality
12/29/2013,"Blue Line Drilling Co. LLC, San Angelo, TX 76901",Worker struck and killed by truck when it rolled back while flatbed was being unhitched.,Fatality
12/28/2013,"1900 Lincoln Highway ABF Freight Systems Inc., Sauk Village, IL 60411",Worker struck and killed by a trailer yard tractor.,Fatality
12/27/2013,"West Coast Roofing, Ventura, CA 93003",Worker died in fall through roof opening.,Fatality
12/26/2013,"DirectTV, St. Louis, MO 63101",Worker driving a van killed in vehicle collision.,Fatality
12/26/2013,"P.S. Demolition Inc., Vernon Hills, IL 60061",Worker struck and killed by a piece of falling precast concrete.,Fatality
12/25/2013,"Bureau of Reclamation Pacific Northwest Region, Coulee City, WA 99115",Worker inspecting flood gate died in fall from edge of dam.,Fatality
12/25/2013,"Eschbach Charles P, Everett, WA 98208",Worker crushed to death by motor vehicle while replacing rear shocks.,Fatality
12/24/2013,"Scholes Electric & Communications, Bridgewater, NJ 08807",Worker electrocuted by energized panel.,Fatality
12/23/2013,"Lutton Trucking, Inc., McCleary, WA 98557",Worker transporting logs killed in vehicle collision.,Fatality
12/23/2013,"Texas H&H Contractors, Mission, TX 78574",Worker performing painting died in fall from scissor lift.,Fatality
12/22/2013,"Tovar Snow Professionals Inc., Oak Brook, IL 60522",Worker killed in fall from truck during roadway salting oeprations.,Fatality
12/21/2013,"Mid-America Liner, Seiling, OK 73663",Worker in a company passenger van killed in vehicle collision. ,Fatality
12/21/2013,"Rockford Public School District 205 - Guilford HS,  Rockford, IL  61114",Worker died from head injuries after falling.,Fatality
12/19/2013,"Carrollton Farmer's Exchange, Mechanicstown, OH 44651",Worker died after delivery truck parked on icy incline rolled over onto him.  ,Fatality
12/19/2013,"Don King, Blacklick, OH 43004",Worker cutting tree died after being struck by limb and falling to the ground.,Fatality
12/19/2013,"Northern  Vermont Traffic Control, LLC, Eden, VT  05652",Two workers killed in vehicle collision while returning from job site.,Fatality
12/19/2013,"Robinson Grain Company LLC, Panhandle, TX 79068",Worker struck and killed by train.,Fatality
12/19/2013,"W.G. Yates & Sons Construction Company, Perry, FL 32348",Worker died from exposure to chlorine dioxide.,Fatality
12/18/2013,"C & R Towing, Eugene, OR 97402 ",Worker crushed by vehicle during servicing.,Fatality
12/18/2013,"Carlos Bernal Concrete, Haslet, TX 76052",Worker cleaning manhole covers struck and killed by motor vehicle.,Fatality
12/18/2013,"ISI Construction, Repair, and Maintenance Inc., San Antonio, TX 78223",Worker struck and killed by motor vehicle while removing traffic signs.,Fatality
12/18/2013,"Loomis US, Houston, TX 77042",Worker shot and killed after exiting armored truck with money.,Fatality
12/18/2013,"Riceland Foods Inc., Tuckerman, AR 72473",Worker killed in fall after being knocked from elevated pallet by cable. ,Fatality
12/18/2013,"United Pulse Trading Inc., Williston, ND 58801",Worker crushed to death by forklift.,Fatality
12/17/2013,"Hunter Hauling LLC, N. Moulton, TX 77975",Worker killed by blast from tank trailer that exploded during welding operations.,Fatality
12/17/2013,"Jasdem Inc., Belton, TX 76513",Worker power washing asphalt tank struck and killed by piece of falling asphalt.,Fatality
12/17/2013,"Maribon Group Inc., Appleton, WI 54914",Victim killed in a weather-related vehicle collision.,Fatality
12/16/2013,"NYSDSP Troop T Fultonville Station, Amsterdam, NY 12010",Worker died when his parked vehicle was rear-ended by tractor trailer.,Fatality
12/16/2013,"Pacific Steel & Recycling, Boise, ID 83702",Worker killed when the powered industrial truck he was driving flipped over. ,Fatality
12/16/2013,"Pardel Export Company Inc., Miami, FL 33166",Worker struck and killed by machinery parts that fell from truck during offloading.,Fatality
12/15/2013,"Tarsco, Corpus Christi, TX 78409",Two workers killed in fall from rafters when the column they were installing collapsed.,Fatality
12/15/2013,"US Steel Great Lakes Works Div, Ecorse, MI  48229",Worker killed in steel plant explosion.,Fatality
12/14/2013,"Accurate Elevator Fire Door Corp., New York, NY 10024",Worker struck and killed by brick.  ,Fatality
12/14/2013,"G and J Pepsi Cola Bottlers Inc., Columbus, OH 43219",Worker killed in vehicle collision.,Fatality
12/14/2013,"The Comp Dairy Farm LPD, Dorset, OH 44032",Worker killed when tractor flipped over into manure pond.,Fatality
12/13/2013,"Cajun Sugar Cooperative INC., New Iberia, LA 70563",Worker died after being caught in rollers of sugar cane crusher,Fatality
12/13/2013,"Deep River Dyeing Company, Inc., Randleman, NC 27317",Worker killed when he fell into centrifuge extractor.,Fatality
12/13/2013,"South Green Transportation, Ontario, CA 91761",Worker crushed by truck.,Fatality
12/12/2013,"Fairfield Maintenance Inc., Livingston, NJ 07039",Worker struck and killed by dump truck while refilling underground fuel tank.,Fatality
12/12/2013,"MCG Drilling, Abilene, TX 79605",Worker struck and killed by trash vehicle that was backing up.,Fatality
12/11/2013,"Anderson Ferry Inc., Hebron, KY 41048",Worker drowned after falling off ferry.,Fatality
12/11/2013,"Big Valley Labor,  Merced, CA 95348+B217",Worker killed when gas tank exploded during welding operations.,Fatality
12/11/2013,"Cimco Refrigeration Inc., Athens, GA 30608",Worker died in fall from roof.,Fatality
12/11/2013,"Fresh Tracks Farm, LLC.,  Berlin, VT  05602",Worker struck and killed by falling tree.,Fatality
12/11/2013,"NiCorr/Pioneer (Jarod), Tippecanoe, IN 46570",Worker crushed between piece of machinery and trailer.,Fatality
12/11/2013,"Ronald Weber Farms, Saint John, KS 67576",Worker crushed and killed between rear wheel and wheel hub of tractor.,Fatality
12/10/2013,"Anderson Ferry Inc., Hebron, KY 41048",Worker drowned after falling from deck of ferry.,Fatality
12/10/2013,"CEMEX, Louisville, KY 40200",Worker struck and killed by motor vehicle while performing flagging duties.,Fatality
12/10/2013,"Morris County MUA, Hanover, NJ  07950    ",Worker died after slipping on ice while trying to get into recyling compactor truck.,Fatality
12/10/2013,"Pleasant View Gardens Inc., Loudon, NH 03307",Worker died after being trapped between steel structure and scissor lift.,Fatality
12/10/2013,"Western Heating & Air Conditioning Inc., Garden City, ID 83714",Worker died in fall from ladder. ,Fatality
12/9/2013,"Boston Bridge & Steel Inc., Boston, MA 02128",Worker killed when steel arch in shop tipped over.,Fatality
12/9/2013,"Citizens-Shallowater Co-Op Gin, Shallowater, TX 79363",Worker struck and killed by train.,Fatality
12/9/2013,"City Recycling Corp., Melville, NY 11747",Worker struck and killed by compactor.,Fatality
12/9/2013,"OR Express, Fresno, CA 93710",Worker crushed to death between loading dock and tractor trailer.,Fatality
12/7/2013,"Nation Pizza and Foods, Schaumburg, IL 60173",Temporary worker died after forklift he was operating fell between truck and dock. ,Fatality
12/7/2013,"Richard Ahlers Carpentry, Jacksonville, FL 32225",Worker repairing roof died in fall from stepladder.,Fatality
12/6/2013,"Chermac Builders Inc., Henderson, NV 89074",Worker killed in fall from extension ladder.,Fatality
12/6/2013,"Nicolas Obispo, Los Angeles, CA 90025",Worker died in fall from palm tree.,Fatality
12/5/2013," East Coast Fireproofing, Boston, MA 02122",Worker died after being caught between steel beam and scissor lift.,Fatality
12/5/2013,"Country Mark Refining and Logistics LLC, Henderson, KY 42420",Worker died in fall from stairs on diesel storage tank.,Fatality
12/5/2013,"E Con Inc., Old Town, ME 04468",Worker died in fall from trusses.,Fatality
12/5/2013,"Municipal District Services LLC, Cypress, TX 77433",Worker killed in trench wall collapse.,Fatality
12/5/2013,"U.S. Postal Service, Westminister, CO 80020",Postal worker died in a vehicle collision.,Fatality
12/5/2013,"United States Sugar Corporation, Clewiston, FL 33440",Excavator operator died after receiving multiple bee stings.,Fatality
12/5/2013,"Young Life, Colorado Springs, CO 80901",Worker killed in vehicle collision.,Fatality
12/4/2013,"FM Ring Associates Inc., New York, NY 10010",Worker killed in fall down elevator shaft.,Fatality
12/4/2013,"Genco, Avenel, NJ 07001",Temporary worker died in fall after being caught in a sorter.  ,Fatality
12/4/2013,"Lockheed Martin, Kirkland AFB, NM 87117",Worker struck and killed by cement truck.,Fatality
12/4/2013,"Pratt Industries Inc., Conyers, GA 30013",Worker killed when caught in conveyor during cleaning.,Fatality
12/3/2013,"Deangelo Brothers Inc., Jacksonville, FL 32219",Worker killed in vehicle collision.,Fatality
12/3/2013,"Farmer's Union Oil Company Inc., Watford City, ND 58854",Worker performing petroleum delivery killed in vehicle collision. ,Fatality
12/3/2013,"KWS Manufacturing Company, Burleson, TX 76028",Worker clearing pipe died after being caught in spiral reamer. ,Fatality
12/3/2013,"Lafayette County Road and Bridge Department, Odessa, MO 64076",Worker struck and killed by falling boom. ,Fatality
12/3/2013,"Lindamood Demolition Inc., College Station, TX 77843",Worker operating skidsteer crushed and killed when it fell over retaining wall.,Fatality
12/3/2013,"Savanna Energy Services, Barnhart, TX 76930",Worker died after falling from forklift basket.,Fatality
12/2/2013,"AA Randall and Sons, Calais, ME 04619",Worker died in fall from ladder.,Fatality
12/2/2013,"Cotterman & Sons LLC, Lorain, OH 44053",Worker struck and killed by steel waste container being hoisted onto truck.,Fatality
12/2/2013,"Davis Motor Coach Ltd, Alliance, OH 44601",Worker performing repairs under bus crushed and killed when vehicle settled.,Fatality
12/2/2013,"Halmar International, Maybrook, NY 12543",Worker crushed and killed by formwork that collapsed during concrete pour.,Fatality
12/2/2013,"Wilcox Farms Inc., Roy, WA 98580",Worker died after being engulfed in corn when grain silo collapsed.,Fatality
11/30/2013,"NYCPD Traffic Division, New York, NY 10017",Traffic enforcement officer struck and killed by truck.  ,Fatality
11/29/2013,"City of Greenville, Greenville, SC 29601",Worker struck and killed by sanitation truck driving in reverse.,Fatality
11/28/2013,"Argueta Carpentry Inc., Silver Spring, MD 20906",Construction worker died in fall from ladder.,Fatality
11/27/2013,"Interstate Paper LLC, Riceboro, GA 31323",Worker crushed by steel clamp of truck used to lift heavy paper.,Fatality
11/26/2013,"Cardinal Health LLC, Houston, TX 77073",Worker died after being pinned between trailer and truck that was backing up.,Fatality
11/26/2013,"Easterly Hauling, Barron, WI 54812",Truck driver struck and killed by hay bale while loading trailer.,Fatality
11/26/2013,"NRG Reserves Inc., Orchard, TX 77464",Worker died after being caught between oil rig and valve.,Fatality
11/25/2013,"Darmon Construction Inc., Mission Viejo, CA   92691 ",Worker died in fall from ladder while remodeling retail space.,Fatality
11/25/2013,"Mehta and Associates Inc., Titusville, FL 32796",Worker struck and killed by dump truck.,Fatality
11/25/2013,"Rivers Edge Construction, Rio Vista, CA 94571",Worker drowned when excavator fell into a river.,Fatality
11/25/2013,"Texas Honing Inc., Pearland, TX 77581",Worker died after being caught in boring machine.,Fatality
11/24/2013,"RDS Trucking Inc., Austin, MN 55912",Snow plow operator died from injuries suffered in fall from plow.,Fatality
11/23/2013,"Blackrock  Milling LLC, Tampa, FL 33619",Worker struck and killed by dump truck.,Fatality
11/23/2013,"Highline Construction, Decorah, IA 52101",Worker electrocuted by power lines.,Fatality
11/23/2013,"Spencer Gifts LLC, Egg Harbor Township, NJ 08234",Worker died in fall from step ladder.,Fatality
11/23/2013,"U.S. Postal Service, Hyattsville, MD 20784",Postal carrier shot and killed during mail delivery.,Fatality
11/22/2013,"Applied Flooring Solutions LLC, Menomonee Falls, WI 53051",Worker crushed and killed under cargo trailer loading ramp. ,Fatality
11/22/2013,"Arrow Environmental Services LLC, Sarasota, FL 34243",Worker died in fall from ladder.,Fatality
11/22/2013,"ASAP Construction, Inc., Boulder, WY 82923",Five workers hospitalized after an explosion occurred during welding activities.,Fatality
11/22/2013,"Chris McNally Printing and Seal Coating, Central City, KY 42330",Worker died in fall from grain dryer.,Fatality
11/22/2013,"Gigli Hay Inc., Mi-Wuk Village, CA 95346",Worker killed when trailer struck and fell from a bridge. ,Fatality
11/22/2013,"Optica Network Technologies, N. Wichita, KS 67219",Maintenance worker died in fall from communication tower.,Fatality
11/21/2013,"Cable Communications Inc., Chicago, IL 60666",Worker died after falling from airport terminal roof.,Fatality
11/21/2013,"Express Lighting and Sign Maintenance LLC, Oklahoma, City, OK 73114",Worker electrocuted by shock from sign.,Fatality
11/21/2013,"R&R Excavating Inc. dba Misikawa Concrete Asphalt Recycling, Mishikawa, IN 46545",Worker struck and killed by tree limb. ,Fatality
11/21/2013,"Schneider National Inc., Pasadena, CA",Worker killed in vehicle collision.,Fatality
11/21/2013,"Tapco, Bayamon, PR 00956",Worker electrocuted while installing cable. ,Fatality
11/21/2013,"Wyman Museum, Craig, CO 81625",Working died in fall through roof.,Fatality
11/20/2013,"Calfrac Well Services Corp., Catarina, TX 78836",Worker struck and killed by end cap that blew off well.,Fatality
11/20/2013,"Direct Asphalt Paving, Michigan Center, MI 49254",Worker crushed and killed between bucket and frame of dump truck.,Fatality
11/20/2013,"DKS Lumber, West Finley, PA 15377",Worker crushed and killed by falling tree.,Fatality
11/20/2013,"Gault Limited Inc., Lenexa, KS 66227",Worker struck and killed by tractor-trailer backing into loading dock.,Fatality
11/20/2013,"M.C. Gill dba Edison Electric, El Monte, CA 91730",Electric company worker electrocuted.,Fatality
11/20/2013,"NYSDSP, Letchworth State Park,  Castile, NY  14427",State Trooper died in fall during special operations training.,Fatality
11/19/2013,"F&P Construction, Reno, NV 89502",Worker struck and killed by water truck that backed over him.,Fatality
11/19/2013,"Lakewood Exteriors LLC, Millville, NJ 08332",Worker died after falling through hole in roof.,Fatality
11/19/2013,"MA Drywall Corp., Fort Mill, SC 29715",Worker died in fall from roof.,Fatality
11/19/2013,"Nicholson Terminal & Dock Company, Detroit, MI 48209",Terminal worker run over and killed by forklift truck.,Fatality
11/18/2013,"Cap Form, Richardson, TX 75082",Worker died after falling through floor hole in building under construction.,Fatality
11/18/2013,"Cooper/T. Smith, Darrow, LA 70725",Barge worker crushed and killed by falling sacks.,Fatality
11/18/2013,"Free Service Tire Company Inc., Kingsport, TN 37663",Worker struck and killed by vehicle.,Fatality
11/18/2013,"Marc-On Services LLC League City, TX 77573",Worker killed by overturned compactor.,Fatality
11/18/2013,"MTL Design Inc., Pulaski, NY 13142",Worker killed after being knocked off roof by wind gust.,Fatality
11/18/2013,"Pike Electric LLC, Indianapolis, IN 46202",Worker struck and killed by motor vehicle while responding to storm-related emergency call.,Fatality
11/17/2013,"Nucor-Yamato Steel, Blytheville, AR 72315",Eleven employees hospitalized due to chlorine dioxide exposure at steel foundry.,Catastrophe
11/16/2013,"Dixie Hauling and Excavating LLC, Adamsville, AL 35005",Worker struck and killed by a motor vehicle.,Fatality
11/16/2013,"Jeremy Shulte, Lake View, IA 51450",Worker asphyxiated while making repairs inside manure application tank. ,Fatality
11/16/2013,"Pepper Contracting Services Inc., Tampa, FL 33607",Worker struck and killed by a dump truck.  ,Fatality
11/16/2013,"Twin Peaks Erectors Inc., Boulder, CO 80304",Worker installing decking died after falling from roof.,Fatality
11/15/2013,"Ballard Marine Construction, Seattle, WA 98116",Worker died after being trapped in capsized boat. ,Fatality
11/15/2013,"BDB Masonry Corp, New York, NY 10003",Worker died in fall from scaffold. ,Fatality
11/15/2013,"Chevron Pascagoula Refinery, Pascagoula, MS 39568",Worker killed in furnace explosion. ,Fatality
11/15/2013,"Precast Management Corporation, Sloan, NV 89054",Worker was crushed and killed by sound walls.,Fatality
11/14/2013,"Fairview Contractors Inc., Stockbridge, MA 01262",Roofing worker died in fall from scaffold.,Fatality
11/14/2013,"MD State Highway Administration, Parkville, MD 21234",One worker was killed and another injured when a motor vehicle struck them.,Fatality
11/14/2013,"Popham Forest Products, Newton, TX 75966",Worker crushed and killed by log skidder.,Fatality
11/13/2013,"Jerry Resendez Enterprise Inc., Laredo, TX 78040",Worker struck and killed by roller while performing street repairs. ,Fatality
11/13/2013,"MBI Energy Services Inc., Mandaree, ND 58757",Worker driving tanker trailer killed in vehicle collision. ,Fatality
11/13/2013,"Pangere Corporation, Gary, IN 46406",Iron worker killed and three others injured when a blast oxygen furnace rubble pit wall plate fell on them.  ,Fatality
11/13/2013,"Timberline Construction Inc., Williston, ND 58801",Worker killed in trench collapse.,Fatality
11/12/2013,"Bill Evans, Ramona, OK 74061",Worker electrocuted while testing transformer.,Fatality
11/12/2013,"Eagle Pass Ranch Limited Partnership, Highmore, SD 57345",Worker electrocuted by overhead power line. ,Fatality
11/12/2013,"United Parcel Service, Noonan, ND 58765",Worker killed in vehicle collision. ,Fatality
11/11/2013,"Recycle Force, Indianapolis, IN 46202",Worker died after being crushed between forklift and guard rail.,Fatality
11/10/2013,"Charles Clark, Schaumburg, IL 60173",Worker unloading truck crushed and killed by falling freight.,Fatality
11/10/2013,"Ken Greco Company Inc., Youngstown, OH 44502",Worker struck and killed by springing coil.,Fatality
11/10/2013,"Seal Security Solutions LLC, Houston, TX 77060",Security worker shot and killed.  ,Fatality
11/10/2013,"Villager Construction Inc., Lexington, SC 29072",Worker struck and killed by vehicle in a construction work zone.,Fatality
11/9/2013,"CEFCO, Bossier City, LA 71112",Cashier was fatally shot during a robbery.,Fatality
11/9/2013,"Wildcat Haven Inc., Sherwood, OR 97140",Worker was killed by a captive cougar.,Fatality
11/8/2013,"Affiliated Temp Help, Vernon, CA 90058",Worker crushed by a bundle of falling metal rods.,Fatality
11/8/2013,"C&Y Transportation Company, Casper, WY 82605",Worker struck and killed by drill pipe that fell from rail car during unloading.,Fatality
11/8/2013,"Pieco Services Property Management, Williamstown, NJ 08094",Worker died when the street sweeper he was operating was struck by a truck.,Fatality
11/8/2013,"RJE Services, Newnan, GA 30263",Worker died after falling while installing siding.,Fatality
11/7/2013,"American Vinyl Company, Opa Locka, FL 33054","Worker was struck and killed when an 8,000 gallon oil tank ruptured. ",Fatality
11/7/2013,"Heart of America Medical Center, Rugby, ND 58368",Worker was killed in a vehicle collision.,Fatality
11/7/2013,"HSI Metal Stamping Inc., Buffalo, MN 55313+B333",Worker struck and killed by parts ejected from running punch press.,Fatality
11/7/2013,"Hunter Woodworks, Carson, CA 90810",Worker killed in fall from roof.,Fatality
11/7/2013,"Ryan Auto Sales Inc., Minot, ND 58701",Worker was killed in a vehicle collision.,Fatality
11/7/2013,"Superior Transportation Inc., Manning, SC 29102",Worker struck and killed by truck trailer. ,Fatality
11/7/2013,"Universal Steel Supply Inc., Garden City, GA 31408",Worker was crushed when a steel plate fell over onto him. ,Fatality
11/7/2013,"Valley Prestressed Products Inc., Eagle Lake, TX 77434",Worker was crushed after being trapped under a form use to make concrete products.,Fatality
11/7/2013,"Warlock Atlantic Inc., Martin, SC 29836",Worker in aerial lift struck and killed by falling steel beam.,Fatality
11/6/2013,"Cummings Paving and Recycling LLC, Yorktown, TX 78164",Worker was struck and killed by an asphalt truck that backed up onto him.,Fatality
11/6/2013,"Fletcherville Car Crushing, Wichita Falls, TX 76310",Worker was crushed between a loader and a compacted car.,Fatality
11/6/2013,"Hillcrest Memorial Cemetery, Edinburg, TX 78539",Worker was struck and killed by a shifting burial monument.,Fatality
11/6/2013,"Mirage Hotel and Casino, Las Vegas, NV 89109",Worker died after falling from a palm tree he was cutting.,Fatality
11/6/2013,"Nu-Way Roofing Inc., Mt. Sterling, KY 40353",Worker was killed when a gust of wind knocked him off a roof.,Fatality
11/6/2013,"US Postal Service, Bethune, SC 29009",Mail carrier was killed in a vehicle collision.,Fatality
11/5/2013,"A-Core Concrete Cutting, Crescent Valley, NV 89821",Two workers were killed and two injured in a construction zone vehicle collision.,Fatality
11/5/2013,"Airgas USA LLC, Hutchinson, KS 67501",Worker was struck and killed by an oxygen bottle when a pressure valve ruptured.,Fatality
11/5/2013,"Creative Christmas Inc., New York, NY 10023",Worker installing lights died after falling from basket of an aerial boom-lift that was struck by a trailer.,Fatality
11/5/2013,"Dale Hofman, Everett, WA 98208",Worker died after falling  from a tree being harvested.,Fatality
11/5/2013,"Exclusive Motors, Placentia, CA 92870",Worker detailing a car was crushed when the  vehicle rolled back on him.  ,Fatality
11/5/2013,"Hughes Electrical Contractors Inc., Portland, OR 97201",Worker  electrocuted by an energized 277-volt power circuit.,Fatality
11/5/2013,"JHOS Logistics and Transportation Inc., Wilmington, CA 90744",Worker died after being thrown 15 feet from an overturned forklift.,Fatality
11/5/2013,"Piatak Meats, Merrillville, IN 46410",Worker shot and killed.,Fatality
11/5/2013,"Reno Forklift, Fernley, NV  89408",Worker was crushed by a  powered industrial truck that rolled off a tow truck during loading.,Fatality
11/5/2013,"Tow Service Inc., Stafford, KS 67578",Worker was struck and killed by a vehicle while securing a bus to a semi-truck flatbed.,Fatality
11/5/2013,"Unknown, Newport Beach, CA 92661",Worker taking photos from a helicopter killed in fall.,Fatality
11/4/2013,"Century Metals And Supplies, Bushnell, FL 33513",Worker retrieving wooden pallets from the roadway was struck and killed by a vehicle.,Fatality
11/4/2013,"Halliburton Energy, Elmendorf, TX 78112",Employee was killed in a semi-truck collision. ,Fatality
11/4/2013,"Oster Brothers Construction LLC , Ryder, ND 58779",Worker was struck and killed by a power line pole that fell from an overhead lift.,Fatality
11/4/2013,"Patterson UTI Drilling LLC, Barnhart, TX 76930",Oil rig worker crushed and killed by blowout preventer.,Fatality
11/4/2013,"Waste Management of Oregon Inc., Arlington, OR 97812",Worker was struck and killed by a container  door.,Fatality
11/3/2013,"City of Oregon, Oregon City, OR 97045+B362",Police officer was shot and killed while responding to  domestic disturbance call.,Fatality
11/2/2013,"B Hughes Tree Service, Wall Township, NJ 07719",Worker conducting tree trimming was electrocuted by power lines.,Fatality
11/1/2013,"Gillies Signs and Design Inc., Bountiful, UT 84010",Worker died in fall from boom lift basket.,Fatality
11/1/2013,"Jensen Farms, Stephen, MN 56757",Worker was struck and killed by farm equipment.,Fatality
11/1/2013,"Maxx Tree Service, Eagle Grove, IA 50533",Worker died after falling from a boom lift basket.,Fatality
11/1/2013,"Precision Auto Sales & Body Works Inc., West Greenwich, RI 02817",Worker struck and killed by drive shaft while preparing  vehicle for towing.,Fatality
11/1/2013,"Ronny Little Trucking Inc., Laredo, TX 78045",Worker was crushed by pipe while offloading it from a truck. ,Fatality
11/1/2013,"ThyssenKrupp Elevator, Dallas, TX 75201",Maintenance worker killed after falling down elevator shaft.,Fatality
10/31/2013,"David Woods (self-employed handyman), Cayucos, CA 93430",Worker power washing roof died in a fall.,Fatality
10/31/2013,"Lyon & Son Tree Service LLC, Haddonfield, NJ 08033",Worker died after falling from a tree.,Fatality
10/31/2013,"Meggitt (Rockmart) Inc., Rockmart, GA 30153",Worker died after being struck by an autoclave door.,Fatality
10/31/2013,"Ramscape, Irvine, CA 922618",Two workers were killed and two injured when the truck they were in rolled over on highway.,Fatality
10/31/2013,"U.S. Postal Service, Tulsa, OK 74136",Worker operating a mail carrier vehicle was killed in a traffic collision.,Fatality
10/31/2013,"Weaver Bailey Contractors Inc., Alexander, AR 72002",Worker killed in a trench collapse.,Fatality
10/30/2013,"All Around Home Improvement LLC, Fox Point, WI 53217",Worker crushed when a residential garage collapsed on him.,Fatality
10/30/2013,"City of Pontiac – Police Department, Pontiac, IL 61764",Police officer and K-9 partner were struck and killed by a motor vehicle while sitting in their patrol car.,Fatality
10/30/2013,"Family Dollar, Willard, OH 44890",Worker shot and killed during an attempted robbery. ,Fatality
10/30/2013,"Julal Construction Inc., Beverly Hills, CA 90210",Worker died after falling more than three stories through a skylight.,Fatality
10/30/2013,"Sierra Pacific Industries Inc., Quincy, CA 95971",Worker died after becoming tangled in equipment.,Fatality
10/30/2013,"Webeco LLC, Plummer, ID 83851",Worker crushed when the log truck he was riding in tipped onto its side. ,Fatality
10/29/2013,"Bulk Transit Corporation, Harman, WV 26270",Tractor driver died in a vehicle collision.,Fatality
10/29/2013,"C J Hesse Inc., New Gretna, NJ 08224",Worker struck and killed by dump truck during highway resurfacing.,Fatality
10/29/2013,"Chris Watterson, Akron, OH 44301",Worker using bucket truck to install building siding died after falling 15 feet.,Fatality
10/29/2013,"Key Energy Services Inc., Colorado City, TX 79512",Worker struck and killed by a high pressure line on rig.,Fatality
10/29/2013,"Mark Construction Group Corp., Hudson, NY 10520",Carpenter died after falling through a wall opening.,Fatality
10/28/2013,"Gilbert Logging, Belton, SC 29627",Worker was struck and killed by a falling tree.,Fatality
10/28/2013,"Henkels & McCoy, South Lake, TX 76092",Worker electrocuted while installing fiber optic cable near overhead power lines.,Fatality
10/28/2013,"Kenneth Wilson, Pagosa Springs, CO 81147",Worker painting exterior of a house died in fall from scaffold.,Fatality
